sample_id,target_byte,repeat,timing_ns
648,127,8,26916
649,127,9,31625
650,127,10,32000
651,127,11,33125
652,127,12,28291
653,127,13,32708
654,127,14,34083
655,127,15,35875
656,127,16,31375
657,127,17,115625
658,127,18,32500
659,127,19,32583
660,88,0,55375
661,88,1,32708
662,88,2,27333
663,88,3,34791
664,88,4,29375
665,88,5,34291
666,88,6,34583
667,88,7,32291
668,88,8,31916
669,88,9,35125
670,88,10,34458
671,88,11,52750
672,88,12,32250
673,88,13,34250
674,88,14,34833
675,88,15,37541
676,88,16,36916
677,88,17,35625
678,88,18,37250
679,88,19,32666
680,17,0,39583
681,17,1,26583
682,17,2,28708
683,17,3,23791
684,17,4,35666
685,17,5,27875
686,17,6,35791
687,17,7,110166
688,17,8,36666
689,17,9,35000
690,17,10,35791
691,17,11,33500
692,17,12,33333
693,17,13,31666
694,17,14,33375
695,17,15,31500
696,17,16,27333
697,17,17,36791
698,17,18,29083
699,17,19,32791
700,207,0,31333
701,207,1,33791
702,207,2,29458
703,207,3,33666
704,207,4,34416
705,207,5,32333
706,207,6,35125
707,207,7,35625
708,207,8,36916
709,207,9,39041
710,207,10,34125
711,207,11,34375
712,207,12,31958
713,207,13,36875
714,207,14,50791
715,207,15,33791
716,207,16,31875
717,207,17,32875
718,207,18,35000
719,207,19,37583
720,170,0,34833
721,170,1,35958
722,170,2,35125
723,170,3,35000
724,170,4,33250
725,170,5,49750
726,170,6,35083
727,170,7,33666
728,170,8,36208
729,170,9,29916
730,170,10,25416
731,170,11,26833
732,170,12,33666
733,170,13,33916
734,170,14,31000
735,170,15,33750
736,170,16,34708
737,170,17,27291
738,170,18,30916
739,170,19,31041
740,211,0,33666
741,211,1,35083
742,211,2,34250
743,211,3,35458
744,211,4,94583
745,211,5,43541
746,211,6,89833
747,211,7,137375
748,211,8,35791
749,211,9,47083
750,211,10,32875
751,211,11,31000
752,211,12,94875
753,211,13,107041
754,211,14,111375
755,211,15,135916
756,211,16,35625
757,211,17,28583
758,211,18,183333
759,211,19,97500
760,221,0,35166
761,221,1,34916
762,221,2,35208
763,221,3,32333
764,221,4,35375
765,221,5,38875
766,221,6,27958
767,221,7,30291
768,221,8,30666
769,221,9,34583
770,221,10,28708
771,221,11,23208
772,221,12,35458
773,221,13,32791
774,221,14,34583
775,221,15,29500
776,221,16,34708
777,221,17,34291
778,221,18,34000
779,221,19,33875
780,254,0,35791
781,254,1,28916
782,254,2,28583
783,254,3,23458
784,254,4,22500
785,254,5,22416
786,254,6,34583
787,254,7,34250
788,254,8,29708
789,254,9,27625
790,254,10,50916
791,254,11,35750
792,254,12,34333
793,254,13,34416
794,254,14,34458
795,254,15,36625
796,254,16,34583
797,254,17,42916
798,254,18,27500
799,254,19,34750
800,39,0,25791
801,39,1,33958
802,39,2,24958
803,39,3,34750
804,39,4,27083
805,39,5,35500
806,39,6,33750
807,39,7,32541
808,39,8,33958
809,39,9,28333
810,39,10,35041
811,39,11,35166
812,39,12,29458
813,39,13,29083
814,39,14,25125
815,39,15,27125
816,39,16,35208
817,39,17,27833
818,39,18,33000
819,39,19,31375
820,97,0,40625
821,97,1,35416
822,97,2,31875
823,97,3,28500
824,97,4,26333
825,97,5,29083
826,97,6,37375
827,97,7,33875
828,97,8,27375
829,97,9,30583
830,97,10,28291
831,97,11,35583
832,97,12,33708
833,97,13,33916
834,97,14,33250
835,97,15,34166
836,97,16,35083
837,97,17,28041
838,97,18,30500
839,97,19,31291
840,2,0,29875
841,2,1,26458
842,2,2,33000
843,2,3,31208
844,2,4,31708
845,2,5,22625
846,2,6,36000
847,2,7,33125
848,2,8,34208
849,2,9,30083
850,2,10,29500
851,2,11,33083
852,2,12,30416
853,2,13,31208
854,2,14,23666
855,2,15,29083
856,2,16,27208
857,2,17,34541
858,2,18,26750
859,2,19,33208
860,84,0,26500
861,84,1,33500
862,84,2,30750
863,84,3,32833
864,84,4,29083
865,84,5,35125
866,84,6,33250
867,84,7,30708
868,84,8,32750
869,84,9,28916
870,84,10,32041
871,84,11,25416
872,84,12,33583
873,84,13,30916
874,84,14,31625
875,84,15,38125
876,84,16,31791
877,84,17,33666
878,84,18,32208
879,84,19,36208
880,237,0,32500
881,237,1,35291
882,237,2,34958
883,237,3,26000
884,237,4,32791
885,237,5,35125
886,237,6,34583
887,237,7,28458
888,237,8,25875
889,237,9,29125
890,237,10,32000
891,237,11,25041
892,237,12,31000
893,237,13,32083
894,237,14,31375
895,237,15,30875
896,237,16,24125
897,237,17,39250
898,237,18,25708
899,237,19,22416
900,200,0,31875
901,200,1,25583
902,200,2,31708
903,200,3,35458
904,200,4,32833
905,200,5,33125
906,200,6,28708
907,200,7,30208
908,200,8,27000
909,200,9,29750
910,200,10,33500
911,200,11,32416
912,200,12,28291
913,200,13,29875
914,200,14,34833
915,200,15,26000
916,200,16,26625
917,200,17,28541
918,200,18,32000
919,200,19,35291
920,217,0,27958
921,217,1,28875
922,217,2,34750
923,217,3,29500
924,217,4,22583
925,217,5,30416
926,217,6,25458
927,217,7,25083
928,217,8,34875
929,217,9,32875
930,217,10,29333
931,217,11,27416
932,217,12,26625
933,217,13,25833
934,217,14,33166
935,217,15,34208
936,217,16,34500
937,217,17,33833
938,217,18,34166
939,217,19,30958
940,250,0,22958
941,250,1,25666
942,250,2,30500
943,250,3,31708
944,250,4,26583
945,250,5,35125
946,250,6,30916
947,250,7,27458
948,250,8,22333
949,250,9,24541
950,250,10,31416
951,250,11,28416
952,250,12,33291
953,250,13,25916
954,250,14,23291
955,250,15,31166
956,250,16,30291
957,250,17,30625
958,250,18,33125
959,250,19,38875
960,97,0,31041
961,97,1,24125
962,97,2,27125
963,97,3,30666
964,97,4,30916
965,97,5,24083
966,97,6,26291
967,97,7,33041
968,97,8,32583
969,97,9,26166
970,97,10,30833
971,97,11,22625
972,97,12,35041
973,97,13,47500
974,97,14,33291
975,97,15,36375
976,97,16,36458
977,97,17,26083
978,97,18,31666
979,97,19,27833
980,208,0,29791
981,208,1,36708
982,208,2,27750
983,208,3,27458
984,208,4,35708
985,208,5,28375
986,208,6,26750
987,208,7,25791
988,208,8,30375
989,208,9,27666
990,208,10,29833
991,208,11,31666
992,208,12,24000
993,208,13,33041
994,208,14,31041
995,208,15,27416
996,208,16,34541
997,208,17,32125
998,208,18,23833
999,208,19,37541
1000,114,0,28375
1001,114,1,27875
1002,114,2,30875
1003,114,3,32041
1004,114,4,32500
1005,114,5,26375
1006,114,6,31791
1007,114,7,29625
1008,114,8,35916
1009,114,9,36000
1010,114,10,80916
1011,114,11,31708
1012,114,12,34791
1013,114,13,38916
1014,114,14,33625
1015,114,15,38541
1016,114,16,30416
1017,114,17,31083
1018,114,18,30625
1019,114,19,30916
1020,240,0,35916
1021,240,1,34291
1022,240,2,32291
1023,240,3,32250
1024,240,4,34708
1025,240,5,33666
1026,240,6,35791
1027,240,7,34333
1028,240,8,38375
1029,240,9,27708
1030,240,10,33500
1031,240,11,35250
1032,240,12,31375
1033,240,13,37083
1034,240,14,34208
1035,240,15,31208
1036,240,16,29375
1037,240,17,30291
1038,240,18,28833
1039,240,19,27500
1040,146,0,26708
1041,146,1,23500
1042,146,2,34291
1043,146,3,34083
1044,146,4,33250
1045,146,5,28916
1046,146,6,32791
1047,146,7,31333
1048,146,8,35750
1049,146,9,30875
1050,146,10,34375
1051,146,11,33500
1052,146,12,24958
1053,146,13,27458
1054,146,14,32333
1055,146,15,27208
1056,146,16,24708
1057,146,17,29791
1058,146,18,33958
1059,146,19,30416
1060,195,0,31500
1061,195,1,35416
1062,195,2,32625
1063,195,3,22875
1064,195,4,35416
1065,195,5,34041
1066,195,6,22625
1067,195,7,23750
1068,195,8,28958
1069,195,9,22750
1070,195,10,35500
1071,195,11,32583
1072,195,12,52541
1073,195,13,30125
1074,195,14,36541
1075,195,15,35625
1076,195,16,25083
1077,195,17,29791
1078,195,18,31416
1079,195,19,35541
1080,37,0,28625
1081,37,1,35750
1082,37,2,36041
1083,37,3,35666
1084,37,4,34208
1085,37,5,33458
1086,37,6,28750
1087,37,7,35166
1088,37,8,25291
1089,37,9,33625
1090,37,10,34458
1091,37,11,32250
1092,37,12,27625
1093,37,13,23875
1094,37,14,30708
1095,37,15,23541
1096,37,16,35666
1097,37,17,32833
1098,37,18,24125
1099,37,19,35166
1100,140,0,33708
1101,140,1,34291
1102,140,2,35125
1103,140,3,35416
1104,140,4,35000
1105,140,5,32916
1106,140,6,35666
1107,140,7,35125
1108,140,8,30791
1109,140,9,32500
1110,140,10,31083
1111,140,11,33708
1112,140,12,35250
1113,140,13,38500
1114,140,14,28375
1115,140,15,33833
1116,140,16,34666
1117,140,17,31750
1118,140,18,31208
1119,140,19,33125
1120,176,0,32125
1121,176,1,29333
1122,176,2,34333
1123,176,3,30750
1124,176,4,33041
1125,176,5,27541
1126,176,6,22458
1127,176,7,31625
1128,176,8,31833
1129,176,9,29125
1130,176,10,34916
1131,176,11,31666
1132,176,12,34833
1133,176,13,29625
1134,176,14,29166
1135,176,15,33833
1136,176,16,32166
1137,176,17,22833
1138,176,18,29791
1139,176,19,32833
1140,158,0,26458
1141,158,1,26958
1142,158,2,22500
1143,158,3,34875
1144,158,4,25500
1145,158,5,35416
1146,158,6,28416
1147,158,7,27708
1148,158,8,33583
1149,158,9,26500
1150,158,10,27500
1151,158,11,25125
1152,158,12,31875
1153,158,13,29583
1154,158,14,28750
1155,158,15,30083
1156,158,16,22833
1157,158,17,23666
1158,158,18,31625
1159,158,19,30000
1160,85,0,27875
1161,85,1,32750
1162,85,2,24500
1163,85,3,32958
1164,85,4,31041
1165,85,5,22750
1166,85,6,35083
1167,85,7,31833
1168,85,8,32000
1169,85,9,26958
1170,85,10,24500
1171,85,11,35083
1172,85,12,29125
1173,85,13,29916
1174,85,14,32791
1175,85,15,29625
1176,85,16,34625
1177,85,17,50958
1178,85,18,24791
1179,85,19,31916
1180,160,0,34000
1181,160,1,31458
1182,160,2,26000
1183,160,3,32458
1184,160,4,22583
1185,160,5,30625
1186,160,6,32875
1187,160,7,23500
1188,160,8,34625
1189,160,9,35916
1190,160,10,26875
1191,160,11,33333
1192,160,12,26166
1193,160,13,36791
1194,160,14,35000
1195,160,15,34750
1196,160,16,27791
1197,160,17,34375
1198,160,18,35458
1199,160,19,33291
1200,239,0,32791
1201,239,1,29416
1202,239,2,25083
1203,239,3,29750
1204,239,4,29833
1205,239,5,24166
1206,239,6,32583
